__Recipe,,Table 1,Array 1,Table 3,Table 4,Table 5,Ingredient,Category,Form,ASU,A,T.Cost,Unitary cost,C/oz,RECIPE NAME:,Missing purchase quantity of ingredient,Missing unitary cost of ingredient,0,-,D,Chirashi sushi,Sashimi platter,Bonsai Kaiko,Bonsai Sushi 12,Bonsai Rolls 20,BENTO 15,BENTO 18,Blu fin toro.S,Salmon.S,Tuna.S,Hamachi,Tarta Vasca,Mochis,Chocolate Cake,Key lime Pie,Monte Fuji,Edamame,Mashed Poatatoes,Truffle Fries,Fried Rice,Tenderloin Kuban,Skirt Steak,Lamb Osoducco,Salmon Reisui,Sea food katsura,Gunkan Taco,Gunkan Sake,Gunkan Ebi,Gunkan Kani,Sushi Toki,Gunkan uni,Gunkan Ikura,Gukan Arcoiris,Hotate Trufado,Negui Hama,Iku sake,Makano,Pesca Blanca,Blu fin toro,Tuna,Hand Roll Saslmon,Hand Roll Hamachi,Hand Roll Tuna,Passion roll,Butter Truffle Roll,Pangora Especial,Cumbaya,Spicy tuna,Samurai ebi,Samurai Salmon,Lobster,Fire roll crab,Tokio,Guayas,Noe Special,Special Tuna,Nubori,Kanebi,Ebi Zu,Cevichihi,Kani Kiuri Maki,Tuna Light,Kani Maguro,Sake Kani Special,Special Philadelphia,Special California,Eel Especial,Teka Maki,Sake maki,Piladelphia,Calirfornia,Hiyashi Wakame,Kani Seaweed,Pork tenderloin Ramen,Beef tenderloin Ramen,Miso Soup,Kamasuki Soup,Sumashi Soup,Pork Tacos,Truffled Dompling,Mizu Tako,Pangora By Fay Tu,Shrimp By Fay Tu,Octopus By Fay Tu,Sake Foie,Tuna Foie,Fresh Oysters,Maki Tartar,Tuna Tartar,Toni Doki,Hamachi Jalapeño,Noe Tataki
D Shitaki,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Shitaki,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Shitaki,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Veg,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Veg,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Veg,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Shrimp,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Shrimp,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Shrimp,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Pork,,,,,,,,,,,,,,,,,,,,RECIPE NAME:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Pork,,,,,,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Pork,,,,,,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Chicken,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Chicken,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Chicken,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef Teriyaki,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef Teriyaki,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef Teriyaki,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicekn Teriyaki,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicekn Teriyaki,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicekn Teriyaki,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teriyaki Salmon,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teriyaki Salmon,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teriyaki Salmon,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General T Chicken,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General T Chicken,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General T Chicken,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Chicken,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Chicken,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Chicken,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chirashi sushi,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chirashi sushi,,,,,,,,,,,,,,,RECIPE,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chirashi sushi,UNIT,,,,,,,,,,,,,,QTY,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sashimi platter,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sashimi platter,,,,,,,,,,,,,,,RECIPE,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sashimi platter,UNIT,,,,,,,,,,,,,,QTY,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonsai Kaiko,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonsai Kaiko,,,,,,,,,,,,,,,RECIPE,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonsai Kaiko,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonsai Sushi 12,1,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonsai Sushi 12,,,,,,,,,,,,,,,RECIPE,,INVOICE,,INDIVIDUAL,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonsai Sushi 12,INGREDIENT,,,,,,,,,,,,,,QTY,,COST,UNIT,INGREDIENT COST,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonsai Rolls 20 (2),,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonsai Rolls 20 (2),,,,,,,,,,,,,,,RECIPE,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonsai Rolls 20 (2),UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonsai Jade 32,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonsai Jade 32,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonsai Jade 32,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENTO 15,1,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENTO 15,,,,,,,,,,,,,,,RECIPE,,INVOICE,,INDIVIDUAL,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENTO 15,INGREDIENT,,,,,,,,,,,,,,QTY,,COST,UNIT,INGREDIENT COST,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENTO 18,1,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENTO 18,,,,,,,,,,,,,,,RECIPE,,INVOICE,,INDIVIDUAL,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENTO 18,INGREDIENT,,,,,,,,,,,,,,QTY,,COST,UNIT,INGREDIENT COST,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blu fin toro.S,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,Sashimis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blu fin toro.S,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blu fin toro.S,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon.S,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,Sashimis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon.S,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon.S,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuna.S,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,Sashimis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuna.S,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuna.S,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamach,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,Sashimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamach,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamach,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarta vasca,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,Desserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarta vasca,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarta vasca,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice cream,1,,,,,,,,,,,,,,MENU CATEGORY:,Desserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice cream,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice cream,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mochis,1,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,Desserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mochis,,,,,,,,,,,,,,,RECIPE,,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mochis,INGREDIENT,,,,,,,,,,,,,,QTY,,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choco Cake,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,Desserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choco Cake,,,,,,,,,,,,,,,RECIPE,,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choco Cake,INGREDIENT,,,,,,,,,,,,,,QTY,,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key lime Pie,1,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,Desserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key lime Pie,,,,,,,,,,,,,,,RECIPE,,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key lime Pie,INGREDIENT,,,,,,,,,,,,,,QTY,,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte Fuji,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,Desserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte Fuji,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte Fuji,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edamame,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,Sides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edamame,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edamame,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mashed Poatatoes,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,Sides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mashed Poatatoes,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mashed Poatatoes,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truffle Fries,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,Sides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truffle Fries,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truffle Fries,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fried Rice,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,Sides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fried Rice,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
